Date Time,VALUE,QUALITY,COMMENT
2017/12/22 00:00:00,0.983,15,
2017/12/23 00:00:00,0.941,15,
2017/12/24 00:00:00,0.893,15,
2017/12/25 00:00:00,0.841,15,
2017/12/26 00:00:00,0.798,15,
2017/12/27 00:00:00,0.762,15,
2017/12/28 00:00:00,0.739,15,
2017/12/29 00:00:00,0.741,15,
2017/12/30 00:00:00,0.730,15,
2017/12/31 00:00:00,0.727,15,
2018/01/01 00:00:00,0.698,15,
2018/01/02 00:00:00,0.669,15,
2018/01/03 00:00:00,0.647,15,
2018/01/04 00:00:00,0.642,15,
2018/01/05 00:00:00,0.641,15,
2018/01/06 00:00:00,0.906,15,
2018/01/07 00:00:00,0.843,15,
2018/01/08 00:00:00,0.762,15,
2018/01/09 00:00:00,0.907,15,
2018/01/10 00:00:00,0.948,15,
2018/01/11 00:00:00,0.893,2,
2018/01/12 00:00:00,0.825,2,
2018/01/13 00:00:00,0.791,2,
2018/01/14 00:00:00,1.190,2,
2018/01/15 00:00:00,1.155,2,
2018/01/16 00:00:00,1.029,2,
2018/01/17 00:00:00,0.938,2,
2018/01/18 00:00:00,0.869,2,
2018/01/19 00:00:00,0.829,2,
2018/01/20 00:00:00,0.820,2,
2018/01/21 00:00:00,0.806,2,
2018/01/22 00:00:00,0.769,2,
2018/01/23 00:00:00,0.738,2,
2018/01/24 00:00:00,0.704,2,
2018/01/25 00:00:00,0.680,2,
2018/01/26 00:00:00,0.672,2,
2018/01/27 00:00:00,0.674,2,
2018/01/28 00:00:00,0.661,2,
2018/01/29 00:00:00,0.679,2,
2018/01/30 00:00:00,0.829,2,
2018/01/31 00:00:00,0.799,2,
2018/02/01 00:00:00,0.768,2,
2018/02/02 00:00:00,0.697,2,
2018/02/03 00:00:00,0.653,2,
2018/02/04 00:00:00,0.658,2,
2018/02/05 00:00:00,0.635,2,
2018/02/06 00:00:00,0.608,2,
2018/02/07 00:00:00,0.593,2,
2018/02/08 00:00:00,0.569,2,
2018/02/09 00:00:00,0.547,2,
2018/02/10 00:00:00,0.534,2,
2018/02/11 00:00:00,0.520,2,
2018/02/12 00:00:00,0.557,2,
2018/02/13 00:00:00,0.634,2,
2018/02/14 00:00:00,0.582,2,
2018/02/15 00:00:00,0.529,2,
2018/02/16 00:00:00,0.846,2,
2018/02/17 00:00:00,0.800,2,
2018/02/18 00:00:00,0.692,2,
2018/02/19 00:00:00,0.646,2,
2018/02/20 00:00:00,0.672,2,
2018/02/21 00:00:00,0.625,2,
2018/02/22 00:00:00,0.589,2,
2018/02/23 00:00:00,0.559,2,
2018/02/24 00:00:00,0.537,2,
2018/02/25 00:00:00,0.533,2,
2018/02/26 00:00:00,0.574,2,
2018/02/27 00:00:00,0.646,2,
2018/02/28 00:00:00,0.581,2,
2018/03/01 00:00:00,0.533,2,
2018/03/02 00:00:00,0.537,2,
2018/03/03 00:00:00,0.535,2,
2018/03/04 00:00:00,0.516,2,
2018/03/05 00:00:00,0.496,2,
2018/03/06 00:00:00,0.484,2,
2018/03/07 00:00:00,0.478,2,
2018/03/08 00:00:00,0.464,2,
2018/03/09 00:00:00,0.447,2,
2018/03/10 00:00:00,0.443,2,
2018/03/11 00:00:00,0.553,2,
2018/03/12 00:00:00,0.529,2,
2018/03/13 00:00:00,0.489,2,
2018/03/14 00:00:00,0.466,2,
2018/03/15 00:00:00,0.448,2,
2018/03/16 00:00:00,0.436,2,
2018/03/17 00:00:00,0.425,2,
2018/03/18 00:00:00,0.412,2,
2018/03/19 00:00:00,0.395,2,
2018/03/20 00:00:00,0.390,2,
2018/03/21 00:00:00,0.430,2,
2018/03/22 00:00:00,0.423,2,
2018/03/23 00:00:00,0.434,2,
2018/03/24 00:00:00,0.419,2,
2018/03/25 00:00:00,0.423,2,
2018/03/26 00:00:00,0.536,2,
2018/03/27 00:00:00,0.605,2,
2018/03/28 00:00:00,0.525,2,
2018/03/29 00:00:00,0.476,2,
2018/03/30 00:00:00,0.433,2,
2018/03/31 00:00:00,0.417,2,
2018/04/01 00:00:00,0.416,2,
